Tên Cột,Kiểu Dữ Liệu,Mô Tả
ogc_fid,INTEGER,Khóa chính - ID của cơ sở y tế
name,TEXT,Tên cơ sở y tế
name_vi,TEXT,Tên tiếng Việt
name_en,TEXT,Tên tiếng Anh
amenity,TEXT,Loại tiện ích (hospital/clinic/pharmacy)
healthcare,TEXT,Loại dịch vụ y tế
building,TEXT,Loại tòa nhà
addr_city,TEXT,Thành phố
addr_full,TEXT,Địa chỉ đầy đủ
operator,TEXT,Đơn vị vận hành
capacity,TEXT,Sức chứa
source,TEXT,Nguồn dữ liệu
osm_id,TEXT,ID từ OpenStreetMap
osm_type,TEXT,Loại đối tượng OSM (node/way/relation)
geom,GEOMETRY,Tọa độ địa lý (PostGIS - dùng cho tìm kiếm gần nhất)
